"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Donkey_loaded","","delete","",""
"","","Donkey","","delete","",""
"","","Captain","","hide","",""
"","","Thief","","hide","",""
"","m1/1","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_neutral,side:right,speaker:Ali Baba,wait,hold"
"","m1/2","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m1/3","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m1/4","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,instant fade,fade"
"","","Mariana","","hide","",""
"","","Alibaba","","hide","",""
"","","Captain","","show","",""
"","","Thief","","show","",""
"","","Donkey","","place","","POS:(900;1600),Camera:1"
"","","Donkey","","place","","POS:(1600;1450),Camera:1"
"","m1/5","Thief","Default","","","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:right,speaker:Thief,wait,hold"
"","m1/6","Captain","Default","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","m1/7","Captain","Default","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","","Forest_outside_cave_half_open","","bgchange","","scene:1,POS:1,fade"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","","Forest_outside_cave_open","","bgchange","","scene:1,POS:1,fade"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","m1/8","Thief","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Donkey","","delete","",""
"","","Captain","","hide","",""
"","","Thief","","hide","",""
"","m1/9","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","Captain","","show","",""
"","","Thief","","show","",""
"","","Donkey_loaded","","place","","POS:(900;1600),Camera:1"
"","","Donkey_loaded","","place","","POS:(1600;1450),Camera:1"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m1/10","Thief","Default","","","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:right,speaker:Thief,wait,hold"
"","m1/11","Captain","Default","","","voice:(Parchment_write;3000;0),portrait:chief_thief_neutral,side:right,speaker:Captain,wait,hold"
"","m1/12","Captain","Default","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","","Forest_outside_cave_half_open","","bgchange","","scene:1,POS:1,fade"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","","Forest_outside_cave","","bgchange","","scene:1,POS:1,fade"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","m1/13","Thief","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Donkey_loaded","","delete","",""
"","","Captain","","hide","",""
"","","Thief","","hide","",""
"","m1/14","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","Mariana","","show","",""
"","","Alibaba","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m1/15","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","m1/16","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m1/17","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m1/18","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m1/19","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_neutral,side:right,speaker:Ali Baba,wait,hold"
"","","Forest_outside_cave_half_open","","bgchange","","scene:1,POS:1,fade"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","","Forest_outside_cave_open","","bgchange","","scene:1,POS:1,fade"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","","camera","blackout","cutscene","","timer:2,no auto fade out,wait"
"","m1/end","Alibaba","Default","","","interact,start mission:2,voice:(Parchment_write;3000;0),portrait:alibaba_neutral,side:right,speaker:Ali Baba"
